time, current, voltage, t1, t2
1339243536563, -0.1, 53.3, 0, 0
1339243537708, -0.1, 53.2, 15, 17
1339243538871, -0.1, 53.1, 14, 17
1339243539709, -0.1, 53.3, 15, 17
1339243540000, -0.1, 53.2, 15, 17
1339243540273, -0.1, 53.2, 15, 17
1339243540580, -0.1, 53.2, 15, 17
1339243540897, -0.1, 53.2, 15, 18
1339243541202, -0.1, 53.2, 15, 18
1339243543385, -0.1, 53.2, 15, 18
1339243543671, -0.1, 53.3, 15, 18
1339243543952, -0.1, 53.3, 15, 18
1339243544252, -0.1, 53.3, 15, 18
1339243544564, -0.1, 53.3, 15, 17
1339243544863, -0.1, 53.2, 15, 17
1339243545180, -0.1, 53.3, 15, 17
1339243545477, -0.1, 53.3, 15, 17
1339243545775, -0.1, 53.3, 15, 17
1339243546089, -0.1, 53.4, 15, 17
1339243546373, -0.1, 53.3, 15, 17
1339243546661, -0.1, 53.3, 15, 17
1339243546976, -0.1, 53.2, 14, 17
1339243547292, -0.1, 53.3, 14, 17
1339243547555, -0.1, 53.3, 14, 17
1339243547859, -0.1, 53.2, 14, 17
1339243548180, -0.1, 53.3, 15, 17
1339243548482, -0.1, 53.3, 15, 17
1339243548761, -0.1, 53.4, 15, 17
1339243549072, -0.1, 53.4, 15, 17
1339243549379, -0.1, 53.3, 15, 17
1339243549664, -0.1, 53.3, 15, 17
1339243549963, -0.1, 53.3, 15, 17
1339243550243, -0.1, 53.3, 15, 17
1339243550572, -0.1, 53.2, 15, 17
1339243550874, -0.1, 53.2, 15, 17
1339243551190, -0.2, 53.2, 15, 17
1339243551480, -0.2, 53.2, 15, 17
1339243551776, -0.1, 53.2, 15, 17
1339243552054, -0.2, 53.2, 15, 17
1339243552436, -0.2, 53.2, 15, 17
1339243552669, 0.0, 53.2, 15, 17
1339243552990, 0.1, 53.3, 15, 18
1339243553298, 0.0, 53.4, 15, 18
1339243553582, 0.1, 53.2, 15, 18
1339243553884, 0.1, 53.2, 15, 18
1339243554201, 0.0, 53.3, 14, 17
1339243554513, 0.0, 53.2, 14, 17
1339243554781, 0.0, 53.2, 14, 17
1339243555064, 0.1, 53.4, 14, 17
1339243555379, 0.1, 53.2, 15, 17
1339243555684, 0.1, 53.3, 15, 17
1339243555984, 0.0, 53.3, 15, 17
1339243556305, 0.1, 53.3, 15, 17
1339243556595, 0.0, 53.3, 15, 17
1339243556904, 0.1, 53.2, 15, 17
1339243557295, 0.1, 53.3, 15, 17
1339243557501, 0.1, 53.3, 15, 17
1339243557803, 0.1, 53.2, 15, 17
1339243558114, 0.0, 53.1, 15, 17
1339243558412, 0.1, 53.2, 15, 17
1339243558695, 0.1, 53.2, 15, 17
1339243559042, 0.0, 53.2, 15, 17
1339243559317, -0.1, 53.3, 15, 17
1339243559621, -0.1, 53.1, 15, 17
1339243559943, -0.1, 53.1, 15, 17
1339243560247, -0.1, 53.3, 15, 17
1339243560554, -0.1, 53.3, 15, 17
1339243560839, -0.1, 53.3, 15, 17
1339243561136, -0.1, 53.3, 15, 17
1339243561448, -0.1, 53.3, 15, 17
1339243561728, -0.1, 53.2, 15, 17
1339243562030, 0.0, 53.0, 15, 17
1339243562321, -0.1, 53.1, 15, 17
1339243562652, -0.1, 53.2, 15, 17
1339243562932, -0.1, 53.1, 15, 17
1339243563246, -0.1, 53.1, 15, 17
1339243563552, -0.1, 53.1, 15, 17
1339243563892, 0.0, 53.2, 15, 17
1339243564153, 0.0, 53.1, 15, 17
1339243564461, 0.0, 53.1, 15, 17
1339243564810, 0.0, 53.1, 15, 17
1339243565063, 0.0, 53.0, 15, 17
1339243565364, 0.0, 53.1, 15, 17
1339243565643, 0.0, 53.1, 15, 17
1339243565973, 0.0, 53.3, 15, 17
1339243566263, 0.0, 53.2, 15, 17
1339243566581, 0.0, 53.1, 15, 17
1339243566883, 0.1, 53.1, 15, 17
1339243567162, 0.0, 53.2, 15, 17
1339243567490, 0.0, 53.1, 15, 17
1339243567770, 0.1, 53.1, 15, 17
1339243568070, 0.1, 53.2, 15, 17
1339243568350, 0.1, 53.2, 15, 17
1339243568664, 0.1, 53.3, 15, 17
1339243569002, 0.1, 53.3, 15, 17
1339243569286, 0.1, 53.3, 15, 17
1339243569573, 0.1, 53.3, 15, 17
1339243569864, 0.1, 53.2, 15, 17
1339243570197, 0.1, 53.2, 15, 17
1339243570474, 0.1, 53.2, 15, 17
1339243570790, 0.1, 53.2, 15, 17
1339243571074, 0.1, 53.2, 15, 17
1339243571382, 0.1, 53.2, 15, 17
