time, current, voltage, t1, t2
1339324690145, -0.2, 57.6, 0, 0
1339324691277, -0.2, 57.5, 16, 17
1339324692422, -0.2, 57.5, 16, 16
1339324693168, -0.2, 57.5, 16, 16
1339324693510, -0.2, 57.5, 16, 16
1339324694016, -0.2, 57.5, 16, 16
1339324694573, -0.2, 57.6, 16, 16
1339324694877, -0.2, 57.6, 16, 16
1339324695202, -0.2, 57.5, 16, 16
1339324695456, -0.2, 57.6, 16, 16
1339324695767, -0.2, 57.6, 16, 17
1339324696071, -0.2, 57.6, 16, 17
1339324696358, -0.2, 57.5, 16, 17
1339324696648, -0.2, 57.5, 16, 17
1339324696969, -0.2, 57.5, 16, 17
1339324697492, -0.2, 57.5, 16, 17
1339324697582, 0.0, 57.6, 16, 17
1339324697869, 0.0, 57.6, 16, 17
1339324698218, 0.0, 57.6, 16, 16
1339324698462, 0.0, 57.5, 16, 16
1339324698762, 0.0, 57.5, 16, 16
1339324699071, 0.0, 57.6, 16, 16
1339324699388, 0.0, 57.5, 16, 17
1339324699678, 0.0, 57.5, 16, 17
1339324699994, 0.0, 57.5, 16, 17
1339324700273, 0.0, 57.5, 16, 17
1339324700588, 0.0, 57.5, 16, 16
1339324700878, 0.0, 57.4, 16, 16
1339324701169, 0.1, 57.4, 16, 16
1339324701459, 0.1, 57.6, 16, 16
1339324701799, 0.0, 57.6, 16, 17
1339324702078, 0.0, 57.6, 16, 17
1339324702394, 0.0, 57.5, 16, 17
1339324702668, 0.0, 57.5, 16, 17
1339324702993, 0.1, 57.5, 16, 17
1339324703253, 0.0, 57.5, 16, 17
1339324703564, 0.1, 57.5, 16, 17
1339324703875, 0.1, 57.4, 16, 17
1339324704188, 0.0, 57.4, 16, 17
1339324704468, 0.0, 57.5, 16, 17
1339324704784, 0.0, 57.5, 16, 17
1339324705070, 0.0, 57.5, 16, 17
1339324705383, 0.1, 57.4, 16, 17
1339324705669, 0.1, 57.5, 16, 17
1339324705959, 0.1, 57.5, 16, 17
1339324706282, 0.1, 57.6, 16, 17
1339324706573, 0.1, 57.6, 16, 17
1339324706879, 0.1, 57.5, 16, 17
