time, current, voltage, t1, t2
1339326695407, -0.1, 53.4, 0, 0
1339326696565, -0.1, 53.4, 22, 21
1339326697839, -0.1, 53.3, 22, 21
1339326698119, -0.1, 53.3, 22, 21
1339326698398, -0.1, 53.2, 22, 21
1339326698709, -0.1, 53.3, 22, 21
1339326699024, -0.1, 53.2, 22, 21
1339326699329, -0.1, 53.3, 22, 21
1339326699633, -0.1, 53.2, 22, 21
1339326699924, -0.1, 53.1, 22, 21
1339326700219, -0.1, 53.3, 22, 21
1339326700677, -0.1, 53.2, 22, 21
1339326700822, 0.0, 53.3, 22, 21
1339326701156, 0.0, 53.2, 22, 21
1339326701450, 0.0, 53.4, 22, 21
1339326701749, 0.0, 53.3, 22, 21
1339326702029, 0.0, 53.4, 22, 21
1339326702314, 0.0, 53.4, 22, 21
1339326702634, 0.0, 53.3, 23, 22
1339326702949, 0.0, 53.2, 23, 22
1339326703208, 0.0, 53.3, 23, 22
1339326703545, 0.0, 53.2, 23, 22
1339326703858, 0.1, 53.2, 22, 22
1339326704118, 0.1, 53.2, 22, 22
1339326704417, 0.1, 53.3, 22, 22
1339326704734, 0.1, 53.2, 22, 22
1339326705042, 0.1, 53.3, 22, 21
1339326705322, 0.1, 53.2, 22, 21
1339326705629, 0.1, 53.3, 22, 21
1339326705940, 0.1, 53.3, 22, 21
1339326706228, 0.1, 53.3, 22, 22
1339326706539, 0.1, 53.2, 22, 22
1339326706820, 0.1, 53.3, 22, 22
1339326707130, 0.1, 53.3, 22, 22
1339326707418, 0.1, 53.2, 22, 21
1339326707729, 0.0, 53.3, 22, 21
1339326708056, 0.0, 53.3, 22, 21
1339326708318, 0.0, 53.4, 22, 21
1339326708634, 0.0, 53.3, 22, 22
1339326708924, 0.0, 53.3, 22, 22
1339326709239, 0.0, 53.4, 22, 22
1339326709519, 0.1, 53.2, 22, 22
1339326709828, 0.0, 53.2, 22, 22
1339326710139, 0.0, 53.2, 22, 22
1339326710424, 0.1, 53.2, 22, 22
1339326710714, 0.1, 53.2, 22, 22
1339326711008, 0.0, 53.3, 22, 21
1339326711319, 0.1, 53.3, 22, 21
1339326711622, 0.1, 53.3, 22, 21
1339326711901, 0.1, 53.3, 22, 21
1339326712218, 0.1, 53.3, 22, 22
1339326712529, 0.1, 53.2, 22, 22
1339326712814, 0.1, 53.2, 22, 22
1339326713130, 0.0, 53.3, 22, 22
1339326713443, 0.1, 53.3, 22, 22
1339326713722, 0.1, 53.4, 22, 22
